length (m),F_geo,V_trn,I_trn,V_out,I_out,E_pon,E_poff,E_crit,_IR_cips,IR_cips,A_scan,R_gb,R_t2m,R_t3m,D_dcvg,D_olre,F_type,F_id,D_clas,D_len,D_erf,D_dept,SRF_loc,N_ocd,S_srb,T_opr,C_pipe,Y_pipe,S_CR,Decision
"125,430",D,100,100,16.50,8.50,1334,1207,,92,127,5.05,100,22306.552,8628.724,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,431",No Feature,100,100,16.50,8.50,1335,1206,,91,129,5.05,100,22346.744,8640.028,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,432",No Feature,100,100,16.50,8.50,1329,1197,,89,132,5.05,100,22386.936,8651.332,AA,-9,,,,,0,0,,0,No,10,C_CW,30,0.13,2
"125,433",No Feature,100,100,16.50,8.50,1326,1198,,93,128,5.05,100,22427.128,8662.636,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,434",No Feature,100,100,16.50,8.50,1333,1127,,59,206,5.05,100,22467.32,8673.94,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,435",No Feature,100,100,16.50,8.50,1308,1177,,93,131,3.96,100,22507.512,8685.244,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,436",No Feature,100,100,16.50,8.50,1257,1142,,107,115,3.96,100,22547.704,8696.548,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,437",No Feature,100,100,16.50,8.50,1317,1188,,96,129,3.96,100,22587.896,8707.852,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,438",No Feature,100,100,16.50,8.50,1317,1190,,97,127,3.96,100,22628.088,8719.156,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,439",No Feature,100,100,16.50,8.50,1284,1208,,160,76,3.96,100,22668.28,8730.46,AA,-17,,,,,0,0,,0,No,10,C_CW,30,0.13,2
"125,440",No Feature,100,100,16.50,8.50,1330,1206,,98,124,3.00,100,22708.472,8741.764,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,441",D,100,100,16.50,8.50,1330,1207,,99,123,3.00,100,22748.664,8753.068,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,442",No Feature,100,100,16.50,8.50,1330,1209,,101,121,3.00,100,22788.856,8764.372,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,443",No Feature,100,100,16.50,8.50,1331,1207,,99,124,3.00,100,22829.048,8775.676,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,444",No Feature,100,100,16.50,8.50,1279,1191,,138,88,3.00,100,22869.24,8786.98,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,445",No Feature,100,100,16.50,8.50,1266,1149,,104,117,6.33,100,22909.432,8798.284,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,446",No Feature,100,100,16.50,8.50,1245,1142,,117,103,6.33,100,22949.624,8809.588,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,447",No Feature,100,100,16.50,8.50,1273,1165,,112,108,6.33,100,22989.816,8820.892,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,448",No Feature,100,100,16.50,8.50,1292,1165,,95,127,6.33,100,23030.008,8832.196,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,449",No Feature,100,100,16.50,8.50,1278,1159,,102,119,6.33,100,23070.2,8843.5,NC,0,,,,,0,0,,0,No,10,C_CW,30,0.13,1
"125,450",TP125+450,100,100,16.50,8.50,1292,1175,,103,117,3.54,100,23110.392,8854.804,NC,0,Weld,Longitudinal seam,,,0,0,,0,No,10,C_CW,30,0.13,1
